manufacturer;name;intercept;coef;test
Hangzhou Laihe Biotech Co., Ltd. (Lissner Qi GmbH);Lyher Novel Coronavirus (COVID‐19) Antigen Test Kit (Colloidal Gold);31.379665697347598;-1.2473475893631056;25.15711415562203
nal von minden GmbH;NADAL® COVID‐19 Ag Schnelltest;24.949981602501147;-1.0218315158737306;24.416923157011198
Quidel Corporation;Sofia SARS Antigen FIA;32.661649487250386;-1.3345481873871954;24.47393791841717
Becton Dickinson;BD VeritorTM System for Rapid Detection of SARS‐ CoV‐2;25.704569052392543;-1.0631827929342228;24.176998746802365
Green Cross Medical Science Corp. (Weko Pharma GmbH);Genedia W Covid‐ 19 Ag;31.278218952039385;-1.2913667891785547;24.221018547283244
Beijing Beier Bioengineering Co., Ltd.;Covid‐19 Antigen Schnelltest;36.94305416365873;-1.574973865676565;23.45629662101664
Servoprax;Cleartest Coronaantigen;33.704760502602944;-1.4730597541203876;22.880782947416254
VivaChek Biotech (Hangzhou) Co,Ltd.;VivaDiag SARS‐ CoV‐2 Ag Rapid Test;36.1452597694806;-1.639698688868525;22.043842575993434
Coris Bioconcept;COVID‐19 Ag Respi Strip;37.46021871882102;-1.768750944524219;21.178910934177644
TaiDoc Technology Corp.;FORA COVID‐19 ANTIGEN RAPID TEST;34.634341904370785;-1.661905606883353;20.840137827877083
Acro Biotech Inc;Acro COVID‐19 Antigen Rapid Test;9.958672373626277;-0.544594452924095;18.28640067880806
Hangzhou AllTest Biotech Co. Ltd.;COVID‐19 AG AllTest;22.26508711685607;-1.1269110015361532;19.75762689911211
Rapigen;Biocredit COVID‐ 19 Ag;23.93767804925494;-1.2070516197503545;19.83152804534225
Shenzhen Lvshiyuan Biotechnology Co., Ltd.;Green Spring SARS CoV‐2 Antigen Rapid Test Kit (Colloidal Gold);21.32935607621083;-0.6738167242207985;31.6545364778176
Toda Pharma;Toda Coronadiag Ag;19.61581794874505;-0.6165252520785641;31.81673075451806
Shenzhen Watmind Medical Co.,Ltd.;SARS‐CoV‐2 Ag Diagnostic Test Kit (Colloidal Gold);44.79404390904498;-1.4813798738500934;30.238053520077635
